hanzi,pinyin,definition
协,xié,be united; cooperate
角,jiǎo,"horn; angle, corner; point"
占,zhàn,divine; observe; versify
配,pèi,"match, pair; equal; blend"
征,zhēng,"invade, attack, conquer"
修,xiū,study; repair; cultivate
皮,pí,"skin, hide, fur, feather; outer"
挥,huī,direct; wipe away; squander
胜,shèng,"victory; excel, be better than"
降,jiàng,"descend, fall, drop; lower, down"
阶,jiē,"stairs, steps; rank, degree"
审,shěn,"examine, investigate; judge"
沉,chén,"sink, submerge; addicted to"
坚,jiān,"hard, strong, firm; resolute"
善,shàn,"good, virtuous, charitable, kind"
妈,mā,"mother, mama"
刘,liú,"surname; kill, destroy"
读,dú,"read, study; pronounce"
啊,a,exclamatory particle
超,chāo,"jump over, leap over; surpass"
免,miǎn,spare; excuse from; evade
压,yā,press; oppress; crush; pressure
银,yín,"silver; cash, money, wealth"
买,mǎi,"buy, purchase; bribe, persuade"
皇,huáng,"royal, imperial; ruler, superior"
养,yǎng,"raise, rear, bring up; support"
伊,yī,"third person pronoun; he, she, this, that"
怀,huái,"bosom, breast; carry in bosom"
执,zhí,hold in hand; keep; carry out
副,fù,assist; supplement; assistant
乱,luàn,"confusion, state of chaos, revolt"
抗,kàng,"resist, oppose, defy, reject"
犯,fàn,"commit crime, violate; criminal"
追,zhuī,"pursue, chase after; expel"
帮,bāng,"help, assist; defend; shoe upper"
宣,xuān,"declare, announce, proclaim"
佛,fú,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)
岁,suì,year; age; harvest
航,háng,"sail; navigate; ship, boat"
优,yōu,"superior, excellent; actor"
怪,guài,"strange, unusual, peculiar"
香,xiāng,"fragrant, sweet smelling, incense"
著,zhe,manifest; (Cant.) to wear
田,tián,"field, arable land, cultivated"
铁,tiě,"iron; strong, solid, firm"
控,kòng,"accuse, charge; control"
税,shuì,taxes
左,zuǒ,"left; east; unorthodox, improper"
右,yòu,right; west; right-wing
份,fèn,"portion, part; duty"
穿,chuān,"penetrate, pierce, drill; wear"
艺,yì,"art; talent, ability; craft"
背,bèi,back; back side; behind; betray
阵,zhèn,"column, row or file of troops"
草,cǎo,"grass, straw, thatch, herbs"
脚,jiǎo,"leg, foot; base, leg, foundation"
概,gài,"generally, approximately"
恶,è,"evil, wicked, bad, foul"
块,kuài,"piece, lump; dollar"
顿,dùn,"pause, stop; bow, kowtow; arrange"
敢,gǎn,"to dare, venture; bold, brave"
守,shǒu,"defend, protect, guard, conserve"
酒,jiǔ,"wine, spirits, liquor, alcoholic beverage"
岛,dǎo,island
托,tuō,"to hold up with palm; to support, rely on"
央,yāng,"center, conclude, run out; beg"
户,hù,door; family
烈,liè,"fiery, violent, vehement, ardent"
洋,yáng,"ocean, sea; foreign; western"
哥,gē,elder brother
索,suǒ,"large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated"
胡,hú,"recklessly, foolishly; wildly"
款,kuǎn,"item, article; clause; fund"
靠,kào,"lean on, trust, depend on; near"
评,píng,"appraise, criticize, evaluate"
版,bǎn,printing blocks; edition
宝,bǎo,"treasure, jewel; precious, rare"
座,zuò,"seat; stand, base"
释,shì,"interprete, elucidate; release"
景,jǐng,"scenery, view; conditions"
顾,gù,look back; look at; look after
弟,dì,"young brother; junior; i, me"
登,dēng,"rise, mount, board, climb"
货,huò,"goods, commodities, products"
互,hù,"mutually, reciprocally"
付,fù,"give, deliver, pay, hand over; entrust"
伯,bó,
慢,màn,"slow(ly), leisurely, sluggish"
欧,ōu,translit.: Europe; ohm; surname
换,huàn,change
闻,wén,hear; smell; make known; news
危,wēi,"dangerous, precarious; high"
忙,máng,"busy, pressed for time; hustling"
核,hé,"seed, kernel, core, nut; atom"
暗,àn,"dark; obscure; in secret, covert"
姐,jiě,"elder sister, young lady"
介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
坏,huài,"rotten, spoilt, bad, broken down"
讨,tǎo,"to discuss; ask for, beg; demand; dun; marry"
丽,lì,"beautiful, magnificent, elegant"
良,liáng,"good, virtuous, respectable"
序,xù,"series, serial order, sequence"
升,shēng,"arise, go up; hoist; advance"
监,jiān,"supervise, control, direct"
临,lín,"draw near, approach; descend"
亮,liàng,"bright, brilliant, radiant, light"
露,lù,"dew; bare, open, exposed"
永,yǒng,"long, perpetual, eternal, forever"
呼,hū,"breathe sigh, exhale; call, shout"
味,wèi,"taste, smell, odor; delicacy"
野,yě,"open country, field; wilderness"
架,jià,"rack, stand, prop; prop up"
域,yù,"district, region, boundary; land"
沙,shā,"sand, gravel, pebbles; granulated"
掉,diào,"turn, move; shake, wag; drop down"
括,kuò,"include, embrace, enclose"
舰,jiàn,warship
鱼,yú,fish; surname; KangXi radical 195
杂,zá,"mixed, blended; mix, mingle"
误,wù,"err, make mistake; interfere"
湾,wān,"bay, cove, inlet, bend of stream"
吉,jí,"lucky, propitious, good"
减,jiǎn,"decrease, subtract, diminish"
编,biān,"knit, weave; arrange; compile"
楚,chǔ,name of feudal state; clear
肯,kěn,"willing; consent to, permit"
测,cè,"measure, estimate, conjecture"
败,bài,"be defeated, decline, fail"
屋,wū,"house; room; building, shelter"
跑,pǎo,"run, flee, leave in hurry"
梦,mèng,dream; visionary; wishful
散,sàn,"scatter, disperse, break up"
温,wēn,lukewarm
困,kùn,"to surround, beseige; to be surrounded; difficult"
剑,jiàn,"sword, dagger, saber"
渐,jiàn,gradually
封,fēng,"letter, envelope; feudal"
救,jiù,"save, rescue, relieve; help, aid"
贵,guì,"expensive, costly, valuable"
枪,qiāng,"spear, lance; gun, rifle"
缺,quē,"be short of, lack; gap, deficit"
楼,lóu,building of two or more stories
县,xiàn,"county, district, subdivision"
尚,shàng,"still, yet; even; fairly, rather"
毫,háo,fine hair; measure of length
移,yí,"change place, shift; move about"
娘,niáng,mother; young girl; woman; wife
朋,péng,"friend, pal, acquaintance"
画,huà,"a painting, picture, drawing; to draw"
班,bān,"class, group, grade; squad; job"
智,zhì,"wisdom, knowledge, intelligence"
亦,yì,"also, too; likewise"
耳,ěr,"ear; merely, only; handle"
恩,ēn,"kindness, mercy, charity"
短,duǎn,"short; brief; deficient, lacking"
掌,zhǎng,"palm of hand, sole of foot, paw"
恐,kǒng,"fear; fearful, apprehensive"
遗,yí,lose; articles lost; omit
固,gù,"to become solid, solidify; strength"
席,xí,seat; mat; take seat; banquet
松,sōng,pine tree; fir tree
秘,mì,"secret, mysterious, abstruse"
谢,xiè,thank; decline
鲁,lǔ,"foolish, stupid, rash; vulgar"
遇,yù,"meet, come across, encounter"
康,kāng,"peaceful, quiet; happy, healthy"
虑,lǜ,"be concerned, worry about"
幸,xìng,"luck(ily), favor, fortunately"
均,jūn,"equal, even, fair; all, also"
销,xiāo,"melt, fuse; market, sell"
钟,zhōng,clock; bell
诗,shī,"poetry; poem, verse, ode"
藏,cáng,"hide, conceal; hoard, store up"
赶,gǎn,"pursue, follow; expel, drive away"
剧,jù,"theatrical plays, opera, drama"
票,piào,slip of paper or bamboo; ticket
损,sǔn,diminish; impair; injure
忽,hū,"suddenly, abruptly; neglect"
巨,jù,"large, great, enormous; chief"
炮,pào,"large gun, cannon; artillery"
旧,jiù,"old, ancient; former, past"
端,duān,"end, extreme; head; beginning"
探,tàn,"find, locate; search, grope for"
湖,hú,"a lake; Hubei, Hunan; bluish-green"
录,lù,"copy, write down, record"
叶,yè,"to harmonize, to rhyme; to unite; (borrowed for) leaf"
春,chūn,spring; wanton
乡,xiāng,country; rural; village
附,fù,"adhere to, append; rely on near to"
吸,xī,"inhale, suck in; absorb; attract"
予,yǔ,"I, me; to give"
礼,lǐ,social custom; manners; courtesy
港,gǎng,"port, harbor; small stream; bay"
雨,yǔ,rain; rainy; KangXi radical 173
呀,ya,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten
板,bǎn,"plank, board; iron or tin plate"
庭,tíng,courtyard; spacious hall or yard
妇,fù,married women; woman; wife
归,guī,"return; return to, revert to"
睛,jīng,eyeball; pupil of eye
饭,fàn,"cooked rice; food, meal"
额,é,"forehead; tablet, plaque; fixed"
含,hán,hold in mouth; cherish; contain
顺,shùn,"obey, submit to, go along with"
输,shū,"transport, carry, haul"
摇,yáo,"wag, swing, wave; shake; scull"
招,zhāo,"beckon, summon; recruit, levy"
婚,hūn,"get married; marriage, wedding"
脱,tuō,take off
补,bǔ,"mend, patch, fix, repair, restore"
谓,wèi,"say, tell; call, name; be called"
督,dū,"supervise, oversee, direct"
毒,dú,"poison, venom; poisonous"
油,yóu,"oil, fat, grease, lard; paints"
疗,liáo,"be healed, cured, recover"
旅,lǚ,"trip, journey; travel; traveler"
泽,zé,"marsh, swamp; grace, brilliance"
材,cái,"material, stuff; timber; talent"
灭,miè,"extinguish; wipe out, exterminate"
逐,zhú,"chase, expel; one by one"
莫,mò,"do not, is not, can not; negative"
笔,bǐ,writing brush; write; stroke
亡,wáng,"death, destroyed; lose, perish"
鲜,xiān,fresh; delicious; attractive
词,cí,"words; phrase, expression"
圣,shèng,"holy, sacred"
择,zé,"select, choose, pick out"
寻,xún,"seek, search, look for; ancient"
厂,chǎng,"factory, workshop; radical 27"
睡,shuì,"sleep, doze"
博,bó,"gamble, play games; wide, broad"
勒,lēi,"strangle, tighten"
烟,yān,"smoke, soot; opium; tobacco, cigarettes"
授,shòu,"give to, transmit; confer"
诺,nuò,"promise; assent, approve"
伦,lún,normal human relationships
岸,àn,"bank, shore; beach, coast"
奥,ào,"mysterious, obscure, profound"
唐,táng,Tang dynasty; Chinese
卖,mài,sell; betray; show off
俄,é,"sudden(ly), soon; Russian"
炸,zhà,to fry in oil; to scald; to explode
载,zài,"load; carry; transport, convey"
洛,luò,river in Shanxi province; city
健,jiàn,"strong, robust, healthy; strength"
堂,táng,hall; government office
旁,páng,"side; by side, close by, near"
宫,gōng,palace
喝,hē,"drink; shout, call out"
借,jiè,borrow; lend; make pretext of
君,jūn,"sovereign, monarch, ruler, chief, prince"
禁,jìn,"restrict, prohibit, forbid"
阴,yīn,
园,yuán,"garden; park, orchard"
谋,móu,"plan, scheme; strategem"
宋,sòng,Song dynasty; surname
避,bì,avoid; turn aside; escape; hide
抓,zhuā,"scratch; clutch, seize, grab"
荣,róng,"glory, honor; flourish, prosper"
姑,gū,
孙,sūn,"grandchild, descendent; surname"
逃,táo,"escape, flee; abscond, dodge"
牙,yá,"tooth, molars, teeth; serrated"
束,shù,"bind, control, restrain; bale"
跳,tiào,"jump, leap, vault, bounce; dance"
顶,dǐng,"top, summit, peak; to carry on the head"
玉,yù,"jade, precious stone, gem"
镇,zhèn,"town, market place; suppress"
雪,xuě,"snow; wipe away shame, avenge"
午,wǔ,noon; 7th terrestrial branch
练,liàn,"to practice, drill, exercise, train"
迫,pò,"coerce, force, compel; urgent"
爷,yé,"father, grandfather"
篇,piān,"chapter, section, essay, article"
肉,ròu,flesh; meat; KangXi radical 130
嘴,zuǐ,"mouth, lips"
馆,guǎn,public building
遍,biàn,"everywhere, all over, throughout"
凡,fán,"all, any, every; ordinary, common"
础,chǔ,"foundation stone, plinth"
洞,dòng,"cave, grotto; ravine; hole"
卷,juǎn,scroll; curl; make a comeback
坦,tǎn,"flat, smooth; self-possessed"
牛,niú,"cow, ox, bull; KangXi radical93"
宁,níng,"calm, peaceful, serene; healthy"
纸,zhǐ,paper
诸,zhū,"various, all, these; surname"
训,xùn,"teach, instruct; exegesis"
私,sī,"private, personal; secret"
庄,zhuāng,"village, hamlet; villa, manor"
祖,zǔ,"ancestor, forefather; grandfather"
丝,sī,silk; fine thread; wire; strings
翻,fān,"flip over, upset, capsize"
暴,bào,"violent, brutal, tyrannical"
森,sēn,forest; luxuriant vegetation
塔,tǎ,"tower, spire, tall building"
默,mò,"silent; quiet, still; dark"
握,wò,"grasp, hold fast, take by hand"
戏,xì,"theatrical play, show"
隐,yǐn,"hide, conceal; hidden, secret"
熟,shú,well-cooked; ripe; familiar with
骨,gǔ,"bone; skeleton; frame, framework"
访,fǎng,"visit; ask, inquire"
弱,ruò,"weak; fragile, delicate"
蒙,méng,cover; ignorant; suffer; mongolia
歌,gē,"song, lyrics; sing, chant; praise"
店,diàn,"shop, store; inn, hotel"
鬼,guǐ,ghost; spirit of dead; devil
软,ruǎn,"soft, flexible, pliable; weak"
典,diǎn,"law, canon; documentation; classic, scripture"
欲,yù,"desire, want, long for; intend"
萨,sà,Buddhist gods or immortals
伙,huǒ,"companion, colleague; utensils"
遭,zāo,"come across, meet with, encounter"
盘,pán,"tray, plate, dish; examine"
爸,bà,"father, papa"
扩,kuò,"expand, enlarge, stretch"
盖,gài,"cover, hide, protect"
弄,nòng,"do, play or fiddle with; alley"
雄,xióng,male of species; hero; manly
稳,wěn,"stable, firm, solid, steady"
忘,wàng,"forget; neglect; miss, omit"
亿,yì,hundred million; many
刺,cì,"stab; prick, irritate; prod"
拥,yōng,"embrace, hug, squeeze; crowd"
徒,tú,"disciple, follower; go on foot"
姆,mǔ,
杨,yáng,"willow, poplar, aspen; surname"
齐,qí,"even, uniform, of equal length"
赛,sài,"compete, contend; contest, race"
趣,qù,
曲,qū,"crooked, bent; wrong, false"
刀,dāo,knife; old coin; measure
床,chuáng,"bed, couch; framework, chassis"
迎,yíng,"receive, welcome, greet"
冰,bīng,ice; ice-cold
虚,xū,false
玩,wán,"play with, joke, enjoy"
析,xī,split wood; break apart; divide
窗,chuāng,window
醒,xǐng,wake up; sober up; startle
妻,qī,wife
透,tòu,"penetrate, pass through"
购,gòu,"buy, purchase; hire"
